COUNTER|NAME|RATING|ADDRESS|PHONE|BUDGET|CUISINE
197|Armadillo Willy’s BBQ|3.5 star rating|2260 Bridgepointe PkwySan Mateo, CA 94404|(650) 571-7427|$$|"Barbeque,
                    Burgers,
                    Sandwiches"
198|Sweet Aha!|5.0 star rating|1700 W Hillsdale BlvdSan Mateo, CA 94402|(415) 839-2138|$|"Desserts,
                    Vegan,
                    Bakeries"
199|Piazza’s Fine Foods|4.0 star rating|1218 W Hillsdale BlvdSan Mateo, CA 94403|(650) 341-9496|$$|"Grocery,
                    Delis"
200|Inchin’s Bamboo Garden|2.5 star rating|139 South B StSan Mateo, CA 94401|(650) 445-7585|$$|"Asian Fusion,
                    Chinese"
201|The Cheese Steak Shop|3.5 star rating|206 S B StSan Mateo, CA 94401|(650) 458-8088|$|"Cheesesteaks,
                    Sandwiches"
201|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
202|Golden Wok|3.0 star rating|570 S Norfolk StSan Mateo, CA 94401|(650) 347-1228|$$|Chinese
203|Specialty’s Café & Bakery|3.5 star rating|1886 S Norfolk StSan Mateo, CA 94403|(877) 502-2837|$|"Sandwiches,
                    Salad,
                    Cafes"
204|Taqueria De Amigos|3.5 star rating|2974 S Norfolk StSan Mateo, CA 94403|(650) 571-8679|$|"Delis,
                    Mexican"
205|Daiki Sushi|3.0 star rating|2075 S El Camino RealSan Mateo, CA 94403|(650) 522-9698|$$|"Japanese,
                    Sushi Bars"
206|Poplar|3.5 star rating|1700 Coyote Point DrSan Mateo, CA 94401|(650) 522-7525|$$|"Venues & Event Spaces,
                    American (Traditional),
                    Bars"
207|Thai Satay Restaurant|3.5 star rating|173 E 4th AveSan Mateo, CA 94401|(650) 342-6451|$$|Thai
208|hnl|3.5 star rating|106 S B StSan Mateo, CA 94401|(650) 316-8606|$|"Poke,
                    Hawaiian,
                    Acai Bowls"
209|Chez Nicole Donuts|3.0 star rating|640 E 3rd AveSan Mateo, CA 94401|(650) 348-5686|$|"Donuts,
                    Chinese"
210|Fernando’s Mexican Restaurant|3.5 star rating|63 37th AveSan Mateo, CA 94403|(650) 345-9042|$$|Mexican
211|Jersey Mike’s Subs|3.5 star rating|2925 S El Camino RealSan Mateo, CA 94403|(650) 345-4400|$|"Delis,
                    Fast Food,
                    Sandwiches"
211|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
212|Poplar|3.5 star rating|1700 Coyote Point DrSan Mateo, CA 94401|(650) 522-7525|$$|"Venues & Event Spaces,
                    American (Traditional),
                    Bars"
213|Thai Satay Restaurant|3.5 star rating|173 E 4th AveSan Mateo, CA 94401|(650) 342-6451|$$|Thai
214|Chez Nicole Donuts|3.0 star rating|640 E 3rd AveSan Mateo, CA 94401|(650) 348-5686|$|"Donuts,
                    Chinese"
215|Fernando’s Mexican Restaurant|3.5 star rating|63 37th AveSan Mateo, CA 94403|(650) 345-9042|$$|Mexican
216|Jersey Mike’s Subs|3.5 star rating|2925 S El Camino RealSan Mateo, CA 94403|(650) 345-4400|$|"Delis,
                    Fast Food,
                    Sandwiches"
217|Masu|3.0 star rating|79 E 3rd AveSan Mateo, CA 94401|(650) 342-5254|$$|"Japanese,
                    Sushi Bars"
218|Pizza My Heart|3.5 star rating|140 E 4th AveSan Mateo, CA 94401|(650) 344-9800|$|"Pizza,
                    Salad,
                    Italian"
219|Yamo Yamo Sushi|3.5 star rating|360 Peninsula AveSan Mateo, CA 94401|(650) 344-2331|$$|Japanese
220|Wingstop|3.0 star rating|858 N Delaware StSan Mateo, CA 94401|(650) 340-9464|$$|Chicken Wings
221|San Mateo Taqueria|4.0 star rating|175 W 25th AveSan Mateo, CA 94403|(650) 281-8772|$|"Tex-Mex,
                    Mexican"
221|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
222|Pizza My Heart|3.5 star rating|140 E 4th AveSan Mateo, CA 94401|(650) 344-9800|$|"Pizza,
                    Salad,
                    Italian"
223|Jersey Mike’s Subs|3.5 star rating|2925 S El Camino RealSan Mateo, CA 94403|(650) 345-4400|$|"Delis,
                    Fast Food,
                    Sandwiches"
224|Top of The Market - San Mateo - Temp. CLOSED|3.5 star rating|1855 S Norfolk StSan Mateo, CA 94403|(650) 349-1845|$$$|Seafood
225|Toa Yuen Restaurant|3.0 star rating|3170 Campus DrSan Mateo, CA 94403|(650) 349-0414|$|Chinese
226|Amici’s East Coast Pizzeria|3.5 star rating|69 Third AveSan Mateo, CA 94401|(650) 342-9392|$$|"Italian,
                    Pizza,
                    Salad"
227|Gau Poang Chinese Restaurant|3.5 star rating|1208 S El Camino RealSan Mateo, CA 94402|(650) 286-9386|$$|Chinese
228|Neal’s Coffee Shop|3.5 star rating|114 De Anza BlvdSan Mateo, CA 94402|(650) 581-1754|$$|"American (Traditional),
                    Coffee & Tea,
                    Breakfast & Brunch"
229|Mimi’s Cafe|3.0 star rating|2208 Bridgepointe PkwySan Mateo, CA 94404|(650) 574-8767|$$|"Breakfast & Brunch,
                    American (Traditional),
                    Cafes"
230|3rd Avenue Sports Bar & Grill|3.0 star rating|77 E 3rd AveSan Mateo, CA 94401|(650) 340-9872|$$|"Sports Bars,
                    American (Traditional)"
231|Quickly|3.5 star rating|142 E 3rd AveSan Mateo, CA 94401|(650) 558-1988|$|"Asian Fusion,
                    Bubble Tea,
                    Juice Bars & Smoothies"
231|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
232|Celia’s Mexican Restaurant|3.5 star rating|504 Peninsula AveSan Mateo, CA 94401|(650) 343-5886|$$|"Mexican,
                    American (New)"
233|Mimi’s Cafe|3.0 star rating|2208 Bridgepointe PkwySan Mateo, CA 94404|(650) 574-8767|$$|"Breakfast & Brunch,
                    American (Traditional),
                    Cafes"
234|Cake Creations|4.5 star rating|705 Bermuda DrSan Mateo, CA 94403|(650) 571-1552|$|"Bakeries,
                    Cafes,
                    Sandwiches"
235|Le Boulanger|3.0 star rating|62 E 4th AveSan Mateo, CA 94401|(650) 548-9244|$|"Bakeries,
                    Coffee & Tea,
                    Sandwiches"
236|Aldo’s Pizza|3.5 star rating|600 S Norfolk StSan Mateo, CA 94401|(650) 513-8432|$$|"Pizza,
                    Burgers,
                    Pasta Shops"
237|Los Dos Amigos|3.5 star rating|246 S B StSan Mateo, CA 94401|(650) 347-7020|$|Mexican
238|Taqueria Ay Caray!|3.5 star rating|478 S Norfolk StSan Mateo, CA 94401|(650) 340-8131|$|Mexican
239|Zorbas Pizza|3.5 star rating|1923 S El Camino RealSan Mateo, CA 94403|(650) 344-2020|$$|Pizza
240|Keep It Real Food Company|5.0 star rating|San Mateo, CA 94401|(206) 388-4000|$$|"Desserts,
                    Gluten-Free"
241|Draeger’s Market|4.0 star rating|222 E 4th AveSan Mateo, CA 94401|(650) 685-3700|$$$|"Grocery,
                    Cooking Schools,
                    Delis"
241|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
242|Formosa Express|3.5 star rating|2992 S Norfolk StSan Mateo, CA 94403||$|Taiwanese
243|Grapevine Cafe|3.0 star rating|1726 S Amphlett BlvdSan Mateo, CA 94402|(650) 572-8942|$|"American (Traditional),
                    Coffee & Tea"
244|Toto’s Pizzeria|3.5 star rating|2727 S El Camino RealSan Mateo, CA 94403|(650) 345-8686|$$|Pizza
245|Sarah G’s|5.0 star rating|250 BaldwinSan Mateo, CA 94401||$|Restaurants
246|Golden 9th Deli & Liquor|4.0 star rating|500 9th AveSan Mateo, CA 94402|(650) 344-3308||"Delis,
                    Beer, Wine & Spirits"
247|California Grill & Bar|3.0 star rating|1770 S Amphlett BlvdSan Mateo, CA 94402|(650) 653-6000|$$|"Bars,
                    American (Traditional)"
248|Little Hunan Restaurant|3.0 star rating|120 De Anza BlvdSan Mateo, CA 94402|(650) 571-1575|$|Chinese
249|California Pizza Kitchen|3.0 star rating|100 Hillsdale Shopping CenterSan Mateo, CA 94403|(650) 286-9018|$$|"Pizza,
                    American (Traditional)"
250|Little Sichuan Restaurant|3.0 star rating|168 E 4th AveSan Mateo, CA 94401|(650) 345-9168|$$|Chinese
251|100% Sweet Cafe|3.0 star rating|205 E 4th AveSan Mateo, CA 94401|(650) 777-7199|$|"Cafes,
                    Chinese"
251|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
252|Aladdin Market|3.5 star rating|208 E Hillsdale BlvdSan Mateo, CA 94403|(650) 212-7775|$|Middle Eastern
253|Speedy Panini Italian Food Truck|4.0 star rating|San Mateo, CA 94403|(650) 704-2598|$|"Food Stands,
                    Italian"
254|Great American Grill|3.5 star rating|2000 Bridgepointe CirSan Mateo, CA 94404|(650) 522-9000|$$|American (Traditional)
255|Las Americas|3.0 star rating|254 S B StSan Mateo, CA 94401|(650) 340-1327|$$|Peruvian
256|San Mateo Produce Market|4.0 star rating|175 W 25th AveSan Mateo, CA 94403|(650) 286-9064|$|"Grocery,
                    Delis"
257|Campus Cafe|3.0 star rating|2955 Campus DrSan Mateo, CA 94403|(650) 573-1800|$|Cafes
258|Chipotle Mexican Grill|2.0 star rating|1050 Park PlSan Mateo, CA 94403|(650) 242-7265|$|"Mexican,
                    Fast Food"
259|Chipotle Mexican Grill|2.5 star rating|2019 Chess DrSan Mateo, CA 94404|(650) 539-3638|$|"Mexican,
                    Fast Food"
260|Oidon|3.5 star rating|71 E 4th AveSan Mateo, CA 94401|(650) 342-6748|$|Japanese
261|Franklin Templeton Cafe|3.5 star rating|1 Park PlSan Mateo, CA 94497||$|Cafes
261|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
262|Red Robin Gourmet Burgers|2.5 star rating|2204 Bridgepointe PkwySan Mateo, CA 94404|(650) 571-5500|$$|"Burgers,
                    American (Traditional)"
263|Miit Zone|3.5 star rating|204 A E 2nd AveSan Mateo, CA 94401|(415) 438-0055|$|"Chinese,
                    Asian Fusion,
                    Japanese"
264|Ochoa’s Fresh Fruits|5.0 star rating|1001 2nd AveSan Mateo, CA 94401|||"Food Stands,
                    Fruits & Veggies"
265|Celia’s Mexican Restaurant - San Mateo - Campus Drive|2.5 star rating|3190 Campus DrSan Mateo, CA 94403|(650) 349-0165|$$|Mexican
266|Southwest Grill|2.5 star rating|1326 W Hillsdale BlvdSan Mateo, CA 94403|(650) 349-6464|$|"Mexican,
                    Tex-Mex"
267|Moon’s Family Sports Pub|3.5 star rating|215 S B StSan Mateo, CA 94401|(650) 348-6666|$|"Sports Bars,
                    Pizza"
268|The Vineyard Cafe|3.0 star rating|1825 S Grant StSan Mateo, CA 94402|(650) 341-1800|$|"Coffee & Tea,
                    Sandwiches"
269|Wing Fat Restaurant|3.5 star rating|500 E 3rd AveSan Mateo, CA 94401|(650) 344-0751|$|Chinese
270|Kelly’s Deli|3.5 star rating|2001 Chess DrSan Mateo, CA 94404|(650) 350-1465|$|"Food Stands,
                    Food Trucks"
271|330 Bistro Bar & Grill|2.5 star rating|330 N Bayshore BlvdSan Mateo, CA 94401|(650) 344-3219|$$|American (New)
271|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
272|Miit Zone|3.5 star rating|204 A E 2nd AveSan Mateo, CA 94401|(415) 438-0055|$|"Chinese,
                    Asian Fusion,
                    Japanese"
273|Silver Lake Seafood Restaurant|3.5 star rating|2291 S El Camino RealSan Mateo, CA 94403|(650) 578-1678|$$|Chinese
274|Kisaku Japanese Restaurant|3.5 star rating|47 E 4th AveSan Mateo, CA 94401|(650) 347-4121|$$|"Sushi Bars,
                    Japanese"
275|Chipotle Mexican Grill|2.5 star rating|251 E 3rd AveSan Mateo, CA 94401|(650) 544-2950|$|"Mexican,
                    Fast Food"
276|Perla’s Gourmet Pizza|5.0 star rating|College of San Mateo Farmer's MarketSan Mateo, CA 94403|(650) 740-9314|$|"Specialty Food,
                    Do-It-Yourself Food,
                    Gluten-Free"
277|Denny’s|2.5 star rating|2920 S NorfolkSan Mateo, CA 94403|(650) 574-1221|$|"Diners,
                    American (Traditional),
                    Breakfast & Brunch"
278|Chavez Supermarket & Taqueria|3.0 star rating|500 S Norfolk StSan Mateo, CA 94401|(650) 781-3950|$$|"Mexican,
                    Grocery,
                    Butcher"
279|330 Bistro Bar & Grill|2.5 star rating|330 N Bayshore BlvdSan Mateo, CA 94401|(650) 344-3219|$$|American (New)
280|Central Market and Cafe|3.5 star rating|517 S B StSan Mateo, CA 94401|(650) 375-8211|$|"Vietnamese,
                    Sandwiches,
                    Seafood"
281|Round Table Pizza|3.0 star rating|430 South Norfolk StreetSan Mateo, CA 94401|(650) 375-1300|$|Pizza
281|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
282|Taco Bell|2.5 star rating|1975 S El Camino RealSan Mateo, CA 94404|(650) 403-0387|$|"Fast Food,
                    Mexican"
283|Andersen Bakery|4.0 star rating|198 Hillsdale MallSan Mateo, CA 94403|(650) 571-5380|$$|"Bakeries,
                    Sandwiches"
284|Rick’s American Grill|5.0 star rating|Perimeter RdSan Mateo, CA||$|American (Traditional)
285|Domino’s Pizza|2.0 star rating|169 E 4th AveSan Mateo, CA 94401|(650) 344-3030|$$|"Pizza,
                    Chicken Wings,
                    Sandwiches"
286|Hawaiian BBQ and Grill|3.0 star rating|1452 Cary AveSan Mateo, CA 94401|||"Hawaiian,
                    Barbeque"
287|Chilango Mex|5.0 star rating|1655 El Camino RealSan Mateo, CA 94497|||Food Stands
288|Taco Bell|3.0 star rating|500 E 4th AveSan Mateo, CA 94401|(650) 403-0395|$|"Tex-Mex,
                    Fast Food,
                    Mexican"
289|Burger King|3.0 star rating|2817 S El Camino RealSan Mateo, CA 94403|(650) 341-7400|$|"Fast Food,
                    Burgers"
290|Round Table Pizza|3.0 star rating|1852 S Norfolk StSan Mateo, CA 94403|(650) 341-0600|$$|"Pizza,
                    Buffets"
291|Rasa|4.0 star rating|209 Park RdBurlingame, CA 94010|(650) 340-7272|$$|Indian
291|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
292|Curry Up Now|3.5 star rating|San Mateo, CA 94402|(650) 375-8153|$$|"Indian,
                    Food Trucks"
293|Century Centre Cafe|4.5 star rating|1450 Fashion Island BlvdFoster City, CA 94404|(650) 349-8098|$|"American (Traditional),
                    Breakfast & Brunch,
                    Juice Bars & Smoothies"
294|Sinbad Specialty Foods|4.0 star rating|1234 S El Camino RealSan Mateo, CA 94402|(650) 347-6060||"Farmers Market,
                    Mediterranean"
295|Round Table Pizza|3.0 star rating|1304 W Hillsdale BlvdSan Mateo, CA 94403|(650) 573-5858|$$|Pizza
296|Falafelle|5.0 star rating|1035 Ralston AveBelmont, CA 94002||$|"Vegan,
                    Middle Eastern,
                    Falafel"
297|Little Caesars Pizza|2.5 star rating|615 E 3rd AveSan Mateo, CA 94401|(650) 393-5656|$|Pizza
298|Mingalaba|4.0 star rating|1213 Burlingame AveBurlingame, CA 94010|(650) 343-3228|$$|"Burmese,
                    Chinese"
299|Smackers|2.0 star rating|25 37th AveSan Mateo, CA 94403|(650) 389-9038|$|Sandwiches
300|McDonald’s|2.5 star rating|1420 S El Camino RealSan Mateo, CA 94402|(650) 349-2878|$|"Burgers,
                    Fast Food"
301|The Greedy Ant Gourmet|4.5 star rating|932 Ralston AveBelmont, CA 94002|(650) 832-1136|$$|"Delis,
                    Cheese Shops,
                    Sandwiches"
301|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
302|Just Panini|3.0 star rating|60 31st AveSan Mateo, CA 94403||$|American (New)
303|Century Centre Cafe|4.5 star rating|1450 Fashion Island BlvdFoster City, CA 94404|(650) 349-8098|$|"American (Traditional),
                    Breakfast & Brunch,
                    Juice Bars & Smoothies"
304|Subway|2.0 star rating|530 S Norfolk StSan Mateo, CA 94401|(650) 343-3280|$|"Sandwiches,
                    Fast Food"
305|Round Table Pizza|2.0 star rating|844 N Delaware StSan Mateo, CA 94401|(650) 685-7000|$|"Pizza,
                    Buffets"
306|Falafelle|5.0 star rating|1035 Ralston AveBelmont, CA 94002||$|"Vegan,
                    Middle Eastern,
                    Falafel"
307|KFC|2.0 star rating|406 East Third Avenue, Ste 245San Mateo, CA 94401|(650) 579-7271|$|"Fast Food,
                    Chicken Wings"
308|Papa John’s Pizza|3.0 star rating|9 W 43rd AveSan Mateo, CA 94403|(650) 570-7272|$|Pizza
309|Mingalaba|4.0 star rating|1213 Burlingame AveBurlingame, CA 94010|(650) 343-3228|$$|"Burmese,
                    Chinese"
310|Hillsdale Shopping Center Restaurants & Food Specialty|3.0 star rating|3101 S El Camino RealSan Mateo, CA 94403|(650) 570-4684||Diners
311|My Nonni’s Italian Foods|5.0 star rating|San Mateo, CA 94401|(650) 341-8481||Italian
311|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
312|Subway|2.5 star rating|2727 S El Camino RealSan Mateo, CA 94403|(650) 525-0119|$|"Fast Food,
                    Sandwiches"
313|Antojitos Salvadoreños Aminta|2.0 star rating|397 S Claremont StSan Mateo, CA 94401|(650) 458-9779|$$|Salvadoran
314|Gators Back Porch BBQ||1670 S Amphlett BlvdSan Mateo, CA 95008|(650) 655-2080||Barbeque
315|Siam Thai Restaurant|2.0 star rating|204 A E 2nd AveSan Mateo, CA 94401|(650) 558-8638||Thai
316|Piccadilly Catering Express|4.5 star rating|1169 Chess DrFoster City, CA 94404|(650) 573-0444|$|"Southern,
                    Cajun/Creole"
317|The Greedy Ant Gourmet|4.5 star rating|932 Ralston AveBelmont, CA 94002|(650) 832-1136|$$|"Delis,
                    Cheese Shops,
                    Sandwiches"
318|Genji Sushi Bars||1010 Park PlaceSan Mateo, CA 94403|(650) 358-6900||"Sushi Bars,
                    Grocery"
319|Burger King|2.0 star rating|44 Hillsdale MallSan Mateo, CA 94403|(650) 312-8484|$|Burgers
320|Holiday Inn Restaurant|2.5 star rating|330 N Bayshore BlvdSan Mateo, CA 94401|(650) 579-0303|$$|Restaurants
321|Subway|2.0 star rating|852 N Delaware StSan Mateo, CA 94010|(650) 344-3738|$|"Sandwiches,
                    Fast Food"
321|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
322|Subway|2.5 star rating|2727 S El Camino RealSan Mateo, CA 94403|(650) 525-0119|$|"Fast Food,
                    Sandwiches"
323|The Boneyard|3.5 star rating||(415) 935-0696|$$|"Food Trucks,
                    Barbeque"
324|Fashion Wok|4.0 star rating|929 A Edgewater BlvdFoster City, CA 94404|(650) 358-8820|$$|"Chinese,
                    Hot Pot"
325|Pieology Pizzeria|3.5 star rating|1000 Metro Center BlvdFoster City, CA 94404|(650) 212-7571|$|Pizza
326|Whispers Cafe & Creperie|4.0 star rating|390 El Camino RealBelmont, CA 94002|(650) 594-0000|$$|"Creperies,
                    Breakfast & Brunch"
327|Hanabi Ramen & Japanese Curry|4.0 star rating|723 California DrBurlingame, CA 94010|(650) 342-8888|$$|Ramen
328|I Privé|4.0 star rating|1125 Burlingame AveBurlingame, CA 94010|(650) 753-1783|$$$|"Japanese,
                    Sushi Bars,
                    Asian Fusion"
329|My Nonni’s Italian Foods|5.0 star rating|San Mateo, CA 94401|(650) 341-8481||Italian
330|Chalet Ticino|4.0 star rating|1058 Shell BlvdFoster City, CA 94404|(650) 571-0507|$$|"Italian,
                    German,
                    French"
331|Round Table Pizza|2.0 star rating|844 N Delaware StSan Mateo, CA 94401|(650) 685-7000|$|"Pizza,
                    Buffets"
331|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
332|Alana’s Cafe|4.0 star rating|1408 Burlingame AveBurlingame, CA 94010|(650) 348-0417|$$|Breakfast & Brunch
333|Meal Boxes Etc||724 S.Amphlett blvdSan Mateo, CA 04402|(650) 776-7328||"Food Delivery Services,
                    Indian,
                    Caterers"
334|Ecco|4.0 star rating|322 Lorton AveBurlingame, CA 94010|(650) 342-7355|$$$|American (New)
335|Cooking Papa Restaurant|3.5 star rating|949A Edgewater BlvdFoster City, CA 94404|(650) 577-1830|$$|Cantonese
336|Taste In Mediterranean Food|4.5 star rating|1199 BroadwayBurlingame, CA 94010|(650) 348-3097|$$|"Mediterranean,
                    Halal"
337|Sakae Sushi|4.0 star rating|243 California DrBurlingame, CA 94010|(650) 348-4064|$$$|"Japanese,
                    Sushi Bars"
338|Tokie’s|4.0 star rating|1058 Shell BlvdFoster City, CA 94404|(650) 570-6609|$$|"Japanese,
                    Sushi Bars"
339|Cafe Joltz|3.0 star rating|1900 S Norfolk StSan Mateo, CA 94403|(650) 345-5939|$|Delis
340|Waterfront|3.5 star rating|969 D Edgewater BlvdFoster City, CA 94404|(650) 573-6634|$$|"Pizza,
                    Mediterranean"
341|Sandwich Monkey|4.0 star rating|Three Plaza View LnFoster City, CA 94404|(650) 274-0264|$|"Salad,
                    Soup,
                    Sandwiches"
341|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
342|Holiday Inn Restaurant|2.5 star rating|330 N Bayshore BlvdSan Mateo, CA 94401|(650) 579-0303|$$|Restaurants
343|Cooking Papa Restaurant|3.5 star rating|949A Edgewater BlvdFoster City, CA 94404|(650) 577-1830|$$|Cantonese
344|Alana’s Cafe|4.0 star rating|1408 Burlingame AveBurlingame, CA 94010|(650) 348-0417|$$|Breakfast & Brunch
345|Taste In Mediterranean Food|4.5 star rating|1199 BroadwayBurlingame, CA 94010|(650) 348-3097|$$|"Mediterranean,
                    Halal"
346|Tokie’s|4.0 star rating|1058 Shell BlvdFoster City, CA 94404|(650) 570-6609|$$|"Japanese,
                    Sushi Bars"
347|Waterfront|3.5 star rating|969 D Edgewater BlvdFoster City, CA 94404|(650) 573-6634|$$|"Pizza,
                    Mediterranean"
348|Sandwich Monkey|4.0 star rating|Three Plaza View LnFoster City, CA 94404|(650) 274-0264|$|"Salad,
                    Soup,
                    Sandwiches"
349|Sakae Sushi|4.0 star rating|243 California DrBurlingame, CA 94010|(650) 348-4064|$$$|"Japanese,
                    Sushi Bars"
350|YAY Cafe|4.5 star rating|533 Airport BlvdBurlingame, CA 94010|(650) 373-2095|$|Cafes
351|WOW Pop Up|3.0 star rating|234 S B StSan Mateo, CA 94401|||"Street Vendors,
                    Filipino"
351|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
352|Waterfront|3.5 star rating|969 D Edgewater BlvdFoster City, CA 94404|(650) 573-6634|$$|"Pizza,
                    Mediterranean"
353|Sandwich Monkey|4.0 star rating|Three Plaza View LnFoster City, CA 94404|(650) 274-0264|$|"Salad,
                    Soup,
                    Sandwiches"
354|Alana’s Cafe|4.0 star rating|1408 Burlingame AveBurlingame, CA 94010|(650) 348-0417|$$|Breakfast & Brunch
355|Bowl’D Acai|4.5 star rating||(415) 770-7000|$$|"Food Trucks,
                    Juice Bars & Smoothies,
                    Hawaiian"
356|YAY Cafe|4.5 star rating|533 Airport BlvdBurlingame, CA 94010|(650) 373-2095|$|Cafes
357|Jougert Bar|5.0 star rating|1115 Burlingame AveBurlingame, CA 94010|(650) 343-1110|$|"Fast Food,
                    American (New),
                    Vegetarian"
358|Limón Rotisserie|3.5 star rating|1101 Burlingame AveBurlingame, CA 94010|(650) 727-0050|$$|"Tapas/Small Plates,
                    Latin American,
                    Peruvian"
359|Tokyo Village|4.0 star rating|1221 Chess DrFoster City, CA 94404|(650) 341-6888|$$|"Japanese,
                    Sushi Bars"
360|Sakae Sushi|4.0 star rating|243 California DrBurlingame, CA 94010|(650) 348-4064|$$$|"Japanese,
                    Sushi Bars"
361|Kobe Japanese Cuisine & Bar|3.5 star rating|929 Edgewater BlvdFoster City, CA 94404|(650) 571-8798|$$|"Japanese,
                    Sushi Bars"
361|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
362|Divino|4.0 star rating|968 Ralston AveBelmont, CA 94002|(650) 620-9102|$$|Italian
363|Urban Bistro|3.5 star rating|270 Lorton AveBurlingame, CA 94010|(650) 347-7687|$$|"Salad,
                    Soup,
                    Sandwiches"
364|Café On Primrose|4.0 star rating|321 Primrose RdBurlingame, CA 94010|(650) 343-4444|$$|"American (New),
                    Mediterranean,
                    Breakfast & Brunch"
365|WOW Pop Up|3.0 star rating|234 S B StSan Mateo, CA 94401|||"Street Vendors,
                    Filipino"
366|Holiday Inn Restaurant|2.5 star rating|330 N Bayshore BlvdSan Mateo, CA 94401|(650) 579-0303|$$|Restaurants
367|Good Bites Cafe|4.5 star rating|1504 El Camino RealBelmont, CA 94002|(650) 592-4837|$|"Middle Eastern,
                    Breakfast & Brunch,
                    Filipino"
368|Genji Sushi Bars||1010 Park PlaceSan Mateo, CA 94403|(650) 358-6900||"Sushi Bars,
                    Grocery"
369|Bon Appetit|3.0 star rating|2215 Bridgepointe ParkwaySan Mateo, CA 94404|(650) 638-9678|$|Cafeteria
370|Adam’s Grub Truck|4.0 star rating||(415) 307-8844|$$|"Sandwiches,
                    Asian Fusion,
                    Food Trucks"
371|Round Table Pizza|3.0 star rating|61 W 43rd AveSan Mateo, CA 94403|(650) 577-0303|$$|Pizza
371|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
372|Sumac Mediterranean Grill|4.5 star rating|1397 El Camino RealBelmont, CA 94002|(650) 592-2107|$$|"Mediterranean,
                    Greek,
                    Caterers"
373|Sixto’s Cantina|3.5 star rating|1448 Burlingame AveBurlingame, CA 94010|(650) 342-7600|$$|Mexican
374|Divino|4.0 star rating|968 Ralston AveBelmont, CA 94002|(650) 620-9102|$$|Italian
375|Urban Bistro|3.5 star rating|270 Lorton AveBurlingame, CA 94010|(650) 347-7687|$$|"Salad,
                    Soup,
                    Sandwiches"
376|Rickshaw Corner Restaurant|3.5 star rating|901 Edgewater BlvdFoster City, CA 94404|(650) 574-2603|$|Chinese
377|Subway|2.5 star rating|1308 W Hillsdale BlvdSan Mateo, CA 94403|(650) 341-1900|$|Sandwiches
378|Khao San Thai Cuisine|4.0 star rating|1088A Shell BlvdFoster City, CA 94404|(650) 525-1535|$$|Thai
379|Bel Mateo Snack Bar|3.0 star rating|4330 Olympic AvenueSan Mateo, CA 94403|(650) 286-1175||Restaurants
380|Jacks Restaurant and Bar||1592 Vista Del SolSan Mateo, CA 94404|||American (New)
381|Good Bites Cafe|4.5 star rating|1504 El Camino RealBelmont, CA 94002|(650) 592-4837|$|"Middle Eastern,
                    Breakfast & Brunch,
                    Filipino"
381|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
382|Kincaid’s|3.5 star rating|60 Bay View PlBurlingame, CA 94010|(650) 342-9844|$$$|"Seafood,
                    Steakhouses,
                    American (Traditional)"
383|Straits - Burlingame|3.0 star rating|1100 Burlingame AveBurlingame, CA 94010|(650) 373-7883|$$|"Asian Fusion,
                    Singaporean,
                    Lounges"
384|Oyster Boy Fish House|3.5 star rating|1300 Howard AveBurlingame, CA 94010|(650) 235-9229|$$|Seafood
